AccX,AccY,AccZ,GyrX,GyrY,GyrZ,EulerX,EulerY,EulerZ,Task ID,Trial ID,Description
-0.043,-0.729,-0.159,25.4393352,0.4010706,-0.8021412,19.03366476,-12.16389834,51.9959385,20,1,Forward fall when trying to sit down
-0.043,-0.719,-0.142,27.7311672,0.1718874,-1.718874,19.31441418,-12.15243918,51.97874976,20,1,Forward fall when trying to sit down
-0.042,-0.709,-0.136,29.9657034,2.7501984,-2.005353,19.6238115,-12.1180617,51.9672906,20,1,Forward fall when trying to sit down
-0.049,-0.711,-0.157,31.9710564,2.7501984,-0.9740286,19.94466798,-12.08368422,51.9672906,20,1,Forward fall when trying to sit down
-0.062,-0.726,-0.151,33.5753388,2.005353,0.4010706,20.2827132,-12.0607659,51.97874976,20,1,Forward fall when trying to sit down
-0.082,-0.739,-0.112,36.8984952,3.0939732,0.8021412,20.78691624,-12.032118,51.92718354,20,1,Forward fall when trying to sit down
-0.088,-0.771,-0.142,39.1330314,7.2192708,0.1718874,21.17652768,-11.96336304,51.95583144,20,1,Forward fall when trying to sit down
-0.089,-0.808,-0.166,39.6486936,11.8029348,-0.9740286,21.5718687,-11.84304186,51.99020892,20,1,Forward fall when trying to sit down
-0.09,-0.846,-0.136,41.252976,14.4958374,-2.578311,21.98439846,-11.69980236,52.0245864,20,1,Forward fall when trying to sit down
-0.094,-0.883,-0.192,40.0497642,17.6471064,-4.0680018,22.37973948,-11.5164558,52.0532343,20,1,Forward fall when trying to sit down
-0.087,-0.893,-0.228,39.247623,21.485925,-4.870143,22.90113126,-11.29300218,52.03604556,20,1,Forward fall when trying to sit down
-0.088,-0.891,-0.198,42.6280752,23.8923486,-4.3544808,23.3193906,-11.0580894,52.09334136,20,1,Forward fall when trying to sit down
-0.088,-0.887,-0.152,45.0917946,24.4080108,-2.5210152,23.75483868,-10.82317662,52.17355548,20,1,Forward fall when trying to sit down
-0.058,-0.898,-0.129,46.0658232,25.0382646,-0.0572958,24.20174592,-10.59399342,52.27668792,20,1,Forward fall when trying to sit down
-0.022,-0.893,-0.11,48.5295426,25.496631,1.432395,24.6658419,-10.36481022,52.40273868,20,1,Forward fall when trying to sit down
0.005,-0.885,-0.067,51.6235158,24.1215318,2.005353,25.28463654,-10.1413566,52.47149364,20,1,Forward fall when trying to sit down
0.019,-0.877,-0.025,56.9520252,24.1788276,2.005353,25.8404058,-9.92936214,52.60327398,20,1,Forward fall when trying to sit down
0.01,-0.858,0.062,62.5670136,22.5745452,1.7761698,26.44774128,-9.72882684,52.72359516,20,1,Forward fall when trying to sit down
-0.015,-0.86,0.048,64.1140002,20.6837838,0.8021412,27.07799508,-9.54548028,52.8267276,20,1,Forward fall when trying to sit down
-0.034,-0.863,0.056,64.8015498,20.2827132,0.1718874,27.71970804,-9.36213372,52.92413046,20,1,Forward fall when trying to sit down
-0.047,-0.841,0.093,67.895523,21.0275586,0.4010706,28.49320134,-9.17305758,52.98142626,20,1,Forward fall when trying to sit down
-0.068,-0.828,0.099,69.0987348,19.0795014,2.005353,29.17502136,-9.01262934,53.09601786,20,1,Forward fall when trying to sit down
-0.074,-0.817,0.113,68.5830726,13.5791046,2.9220858,29.8511118,-8.89803774,53.18769114,20,1,Forward fall when trying to sit down
-0.044,-0.791,0.119,68.6403684,7.6203414,2.4637194,30.5386614,-8.84074194,53.25071652,20,1,Forward fall when trying to sit down
-0.024,-0.762,0.12,70.7030172,1.7761698,0.9167328,31.2548589,-8.81782362,53.26790526,20,1,Forward fall when trying to sit down
-0.028,-0.72,0.122,71.333271,-4.010706,-0.4583664,32.06845926,-8.84074194,53.1991503,20,1,Forward fall when trying to sit down
-0.05,-0.681,0.122,69.2133264,-9.1100322,-2.1199446,32.78465676,-8.89230816,53.13039534,20,1,Forward fall when trying to sit down
-0.082,-0.676,0.136,66.749607,-10.313244,-3.8961144,33.47793594,-8.94387438,53.03872206,20,1,Forward fall when trying to sit down
-0.084,-0.696,0.132,59.1865614,-6.6463128,-5.0993262,34.091001,-8.96106312,52.95277836,20,1,Forward fall when trying to sit down
-0.057,-0.727,0.077,46.123119,-1.145916,-5.2712136,34.56655614,-8.9381448,52.90121214,20,1,Forward fall when trying to sit down
0.004,-0.736,0.013,30.2521824,3.5523396,-4.010706,35.0077338,-8.85793068,52.84391634,20,1,Forward fall when trying to sit down
0.097,-0.737,-0.025,16.2720072,3.6096354,-2.4064236,35.17389162,-8.81209404,52.84391634,20,1,Forward fall when trying to sit down
0.148,-0.783,-0.014,4.8128472,0.6875496,-1.0313244,35.21972826,-8.80063488,52.83818676,20,1,Forward fall when trying to sit down
0.144,-0.86,0.078,-1.0313244,0.286479,-0.2291832,35.2082691,-8.7949053,52.83818676,20,1,Forward fall when trying to sit down
0.076,-0.981,0.164,-1.6615782,-2.6356068,0.9167328,35.19680994,-8.8235532,52.83245718,20,1,Forward fall when trying to sit down
0.001,-1.205,0.245,-2.1199446,-12.8342592,2.1199446,35.31140154,-8.93241522,52.712136,20,1,Forward fall when trying to sit down
0.035,-1.438,-0.009,-22.631841,-16.1574156,1.2605076,35.0936775,-9.06992514,52.6261923,20,1,Forward fall when trying to sit down
0.062,-1.485,-0.085,-42.0551172,-17.5898106,0,34.68687732,-9.21316464,52.52305986,20,1,Forward fall when trying to sit down
0,-1.44,-0.024,-59.2438572,-22.058883,-2.9220858,34.11391932,-9.38505204,52.3683612,20,1,Forward fall when trying to sit down
-0.091,-1.391,0.072,-83.5372764,-6.5317212,-6.302538,33.28313022,-9.41369994,52.27668792,20,1,Forward fall when trying to sit down
-0.219,-1.345,0.006,-115.3937412,10.4851314,-8.4797784,32.15440296,-9.30483792,52.24231044,20,1,Forward fall when trying to sit down
-0.285,-1.231,-0.158,-131.6657484,30.366774,-10.886202,30.80222208,-9.01262934,52.31679498,20,1,Forward fall when trying to sit down
-0.29,-1.087,-0.201,-138.369357,38.9038482,-11.0007936,29.37555666,-8.64593622,52.43138658,20,1,Forward fall when trying to sit down
-0.243,-0.947,-0.221,-147.9377556,41.4248634,-9.9121734,27.85148838,-8.26778394,52.55170776,20,1,Forward fall when trying to sit down
-0.168,-0.813,-0.248,-156.2456466,40.3362432,-9.8548776,26.2414764,-7.89536124,52.66056978,20,1,Forward fall when trying to sit down
-0.062,-0.692,-0.37,-163.7513964,37.2995658,-14.610429,24.59708694,-7.52293854,52.69494726,20,1,Forward fall when trying to sit down
0.043,-0.59,-0.548,-171.7155126,37.8725238,-19.767051,22.84956504,-7.12759752,52.67775852,20,1,Forward fall when trying to sit down
0.122,-0.492,-0.684,-175.4970354,44.404245,-23.4339822,21.06766566,-6.65777196,52.64338104,20,1,Forward fall when trying to sit down
0.177,-0.382,-0.719,-169.9393428,47.6128098,-25.3247436,19.34306208,-6.1592985,52.58608524,20,1,Forward fall when trying to sit down
0.18,-0.315,-0.746,-169.0799058,42.6280752,-25.3247436,17.62991766,-5.70666168,52.50014154,20,1,Forward fall when trying to sit down
0.161,-0.238,-0.786,-165.0691998,35.2942128,-24.0069402,15.9568803,-5.31132066,52.3970091,20,1,Forward fall when trying to sit down
0.155,-0.26,-0.661,-156.8186046,29.3927454,-23.0902074,14.37551622,-4.99046418,52.26522876,20,1,Forward fall when trying to sit down
0.177,-0.374,-0.616,-157.1623794,26.642547,-22.9756158,12.78842256,-4.70398518,52.11625968,20,1,Forward fall when trying to sit down
0.176,-0.472,-0.493,-156.990492,20.3973048,-21.9442914,11.2013289,-4.48053156,51.96156102,20,1,Forward fall when trying to sit down
0.139,-0.551,-0.334,-157.1050836,11.4018642,-20.5691922,9.61996482,-4.3544808,51.78967362,20,1,Forward fall when trying to sit down
0.105,-0.573,-0.277,-160.3136484,8.307891,-20.340009,8.04433032,-4.25707794,51.60632706,20,1,Forward fall when trying to sit down
0.071,-0.579,-0.256,-165.871341,7.161975,-22.2880662,6.37702254,-4.17686382,51.40579176,20,1,Forward fall when trying to sit down
0.026,-0.515,-0.297,-172.1165832,5.72958,-26.5852512,4.6409598,-4.11383844,51.15941982,20,1,Forward fall when trying to sit down
0.06,-0.423,-0.476,-176.9294304,0.572958,-31.1689152,2.87051958,-4.10810886,50.86721124,20,1,Forward fall when trying to sit down
0.137,-0.356,-0.502,-180.1379952,-8.4797784,-33.6326346,1.06570188,-4.19978214,50.54062518,20,1,Forward fall when trying to sit down
0.209,-0.298,-0.462,-187.2426744,-17.9908812,-32.372127,-0.79068204,-4.3831287,50.22549828,20,1,Forward fall when trying to sit down
0.277,-0.212,-0.516,-197.67051,-24.7517856,-24.9809688,-2.77311672,-4.65814854,49.99631508,20,1,Forward fall when trying to sit down
0.251,-0.156,-0.593,-209.0723742,-29.507337,-15.8709366,-4.88160216,-4.97900502,49.86453474,20,1,Forward fall when trying to sit down
0.228,-0.154,-0.689,-220.302351,-32.7159018,-9.7975818,-7.11040878,-5.33423898,49.81296852,20,1,Forward fall when trying to sit down
0.149,-0.186,-0.806,-230.2145244,-36.1536498,-6.1879464,-9.44234784,-5.72385042,49.8186981,20,1,Forward fall when trying to sit down
-0.081,-0.453,-0.739,-253.3047318,-40.4508348,-6.5317212,-14.40416412,-6.57755784,49.88745306,20,1,Forward fall when trying to sit down
-0.101,-0.568,-0.791,-273.5301492,-41.7113424,-9.1100322,-17.18301042,-7.03019466,49.92756012,20,1,Forward fall when trying to sit down
-0.135,-0.659,-1.179,-289.2864942,-43.0864416,-14.4958374,-20.1108258,-7.5057498,49.95047844,20,1,Forward fall when trying to sit down
-0.261,-0.72,-2.278,-310.829715,-47.1544434,-20.5118964,-26.43055254,-8.57718126,50.02496298,20,1,Forward fall when trying to sit down
0.125,-0.377,-2.502,-322.002396,-35.6379876,-20.340009,-29.69641314,-9.00689976,50.04215172,20,1,Forward fall when trying to sit down
0.182,0.235,-2.517,-364.8596544,-23.5485738,-4.6982556,-33.41491056,-9.2532717,50.16820248,20,1,Forward fall when trying to sit down
0.393,0.366,-2.565,-348.3011682,-12.318597,3.6669312,-36.97297974,-9.35067456,50.31144198,20,1,Forward fall when trying to sit down
0.712,0.223,-2.359,-335.2950216,-11.3445684,15.9282324,-40.41072774,-9.35640414,50.55208434,20,1,Forward fall when trying to sit down
0.655,0.588,-2.426,-327.731976,0.859437,31.5699858,-43.77972078,-9.15013926,50.82710418,20,1,Forward fall when trying to sit down
0.205,1.331,-3.199,-278.1138132,-26.4706596,23.0902074,-46.66169952,-9.17878716,51.21671562,20,1,Forward fall when trying to sit down
-0.477,2.461,-3.613,-215.718687,-40.1643558,-1.0313244,-48.89623572,-9.46526616,51.53184252,20,1,Forward fall when trying to sit down
-0.38,3.418,-3.463,-96.543423,-43.3729206,-26.7571386,-49.89891222,-9.95801004,51.69227076,20,1,Forward fall when trying to sit down
0.028,-0.799,-0.314,0.6875496,-1.8907614,-2.6929026,57.62238606,-0.286479,-25.8117579,20,2,Forward fall when trying to sit down
0.024,-0.795,-0.332,1.4896908,-2.291832,-2.005353,57.6968706,-0.27501984,-25.83467622,20,2,Forward fall when trying to sit down
0.025,-0.798,-0.344,1.8907614,-2.3491278,-1.5469866,57.71978892,-0.26929026,-25.86332412,20,2,Forward fall when trying to sit down
0.022,-0.796,-0.331,3.7815228,-3.0366774,-1.2605076,57.75989598,-0.27501984,-25.89197202,20,2,Forward fall when trying to sit down
0.019,-0.799,-0.338,5.72958,-3.724227,-1.5469866,57.81719178,-0.28074942,-25.93207908,20,2,Forward fall when trying to sit down
0.024,-0.809,-0.333,6.016059,-3.5523396,-2.4064236,57.88021716,-0.27501984,-25.97791572,20,2,Forward fall when trying to sit down
0.026,-0.803,-0.329,7.2765666,-1.432395,-3.4950438,57.99480876,-0.24637194,-26.00083404,20,2,Forward fall when trying to sit down
0.019,-0.784,-0.29,10.8289062,-0.8021412,-4.2398892,58.10940036,-0.21772404,-26.02948194,20,2,Forward fall when trying to sit down
0.018,-0.788,-0.289,12.8342592,2.2345362,-4.583664,58.23545112,-0.16615782,-26.03521152,20,2,Forward fall when trying to sit down
0.017,-0.813,-0.331,12.5477802,4.6409598,-4.2398892,58.36150188,-0.10313244,-26.01802278,20,2,Forward fall when trying to sit down
0.011,-0.837,-0.326,11.8602306,5.9014674,-3.0366774,58.48182306,-0.04583664,-25.97791572,20,2,Forward fall when trying to sit down
0.007,-0.847,-0.345,11.2299768,6.4171296,-1.4896908,58.6422513,-0.00572958,-25.92061992,20,2,Forward fall when trying to sit down
0.007,-0.854,-0.355,10.7716104,6.9900876,-0.5156622,58.75111332,0.0286479,-25.86332412,20,2,Forward fall when trying to sit down
0.017,-0.859,-0.345,10.7716104,7.734933,0,58.85997534,0.06875496,-25.79456916,20,2,Forward fall when trying to sit down
0.037,-0.866,-0.35,13.0634424,8.59437,0.1718874,58.99175568,0.10886202,-25.72008462,20,2,Forward fall when trying to sit down
0.049,-0.856,-0.328,15.0687954,9.0527364,0.1718874,59.14072476,0.15469866,-25.6398705,20,2,Forward fall when trying to sit down
0.036,-0.84,-0.295,18.2200644,6.875496,0.6875496,59.36417838,0.18334656,-25.57111554,20,2,Forward fall when trying to sit down
0.012,-0.821,-0.263,21.5432208,4.6409598,1.6042824,59.58190242,0.19480572,-25.51954932,20,2,Forward fall when trying to sit down
0,-0.818,-0.232,26.4133638,5.3858052,2.005353,59.85119268,0.20626488,-25.46225352,20,2,Forward fall when trying to sit down
-0.008,-0.836,-0.213,30.1375908,7.1046792,2.0626488,60.15486042,0.2291832,-25.38776898,20,2,Forward fall when trying to sit down
-0.032,-0.863,-0.165,34.4347758,8.2505952,2.6929026,60.5043648,0.24637194,-25.30182528,20,2,Forward fall when trying to sit down
